Time,PosX,PosY,PosZ
1567044307.746,-18035.221017607117,-7124.147126854936,18092.05336905602
1567044307.996,-18035.479655858806,-7124.667812283049,18091.60332039024
1567044308.246,-18035.738295004197,-7125.188481134312,18091.15324756039
1567044308.496,-18035.996935042473,-7125.70913340828,18090.703150567082
1567044308.746,-18036.2555759728,-7126.229769104255,18090.25302941096
1567044308.996,-18036.514217794327,-7126.750388221724,18089.80288409266
1567044309.246,-18036.77286050621,-7127.270990760255,18089.352714612774
1567044309.496,-18037.031504107643,-7127.791576719163,18088.902520971933
1567044309.746,-18037.29014859775,-7128.312146098018,18088.45230317078
1567044309.996,-18037.54879397567,-7128.832698896142,18088.00206120994
1567044310.246,-18037.80744024063,-7129.3532351131,18087.551795090032
1567044310.496,-18038.066087391744,-7129.873754748332,18087.10150481166
1567044310.746,-18038.324735428185,-7130.39425780125,18086.651190375487
1567044310.996,-18038.58338434909,-7130.914744271358,18086.200851782105
1567044311.246,-18038.842034153637,-7131.435214158097,18085.75048903215
1567044311.496,-18039.100684841003,-7131.955667460847,18085.300102126257
1567044311.746,-18039.35933641031,-7132.476104179197,18084.849691065046
1567044311.996,-18039.61798886075,-7132.996524312497,18084.399255849137
1567044312.246,-18039.876642191448,-7133.516927860259,18083.948796479155
1567044312.496,-18040.135296401615,-7134.037314821886,18083.49831295573
1567044312.746,-18040.393951490372,-7134.5576851968435,18083.047805279497
1567044312.996,-18040.652607456876,-7135.07803898467,18082.597273451065
1567044313.246,-18040.911264300288,-7135.59837618476,18082.146717471056
1567044313.496,-18041.169922019777,-7136.118696796511,18081.696137340114
1567044313.746,-18041.428580614527,-7136.639000819472,18081.24553305885
1567044313.996,-18041.68724008363,-7137.1592882530895,18080.794904627895
1567044314.246,-18041.945900426326,-7137.679559096716,18080.34425204788
1567044314.496,-18042.20456164171,-7138.199813349922,18079.893575319413
1567044314.746,-18042.46322372897,-7138.72005101214,18079.44287444314
1567044314.996,-18042.721886687286,-7139.240272082803,18078.992149419664
1567044315.246,-18042.980550515756,-7139.76047656138,18078.54140024964
1567044315.496,-18043.239215213613,-7140.2806644472585,18078.090626933677
1567044315.746,-18043.497880779927,-7140.800835740018,18077.63982947239
1567044315.996,-18043.75654721396,-7141.320990439024,18077.18900786643
1567044316.246,-18044.01521451479,-7141.841128543791,18076.738162116402
1567044316.496,-18044.273882681602,-7142.361250053735,18076.287292222944
1567044316.746,-18044.532551713586,-7142.8813549683,18075.83639818665
1567044316.996,-18044.791221609845,-7143.40144328697,18075.385480008204
1567044317.246,-18045.04989236957,-7143.921515009191,18074.934537688183
1567044317.496,-18045.30856399194,-7144.441570134455,18074.48357122724
1567044317.746,-18045.56723647609,-7144.961608662168,18074.03258062599
1567044317.996,-18045.825909821157,-7145.481630591792,18073.581565885055
1567044318.246,-18046.08458402632,-7146.001635922803,18073.130527005058
1567044318.496,-18046.34325909077,-7146.521624654655,18072.67946398665
1567044318.746,-18046.601935013605,-7147.041596786814,18072.228376830426
1567044318.996,-18046.860611794025,-7147.5615523187225,18071.777265537035
1567044319.246,-18047.119289431193,-7148.081491249795,18071.326130107096
1567044319.496,-18047.377967924254,-7148.601413579574,18070.874970541237
1567044319.746,-18047.63664727236,-7149.12131930748,18070.423786840067
1567044319.996,-18047.89532747465,-7149.641208432924,18069.97257900422
1567044320.246,-18048.15400853033,-7150.161080955419,18069.521347034344
1567044320.496,-18048.41269043854,-7150.680936874385,18069.070090931047
1567044320.746,-18048.671373198453,-7151.2007761893765,18068.618810694952
1567044320.996,-18048.930056809197,-7151.72059889965,18068.167506326703
1567044321.246,-18049.188741269947,-7152.240405004864,18067.716177826907
1567044321.496,-18049.44742657985,-7152.760194504361,18067.264825196187
1567044321.746,-18049.706112738073,-7153.279967397728,18066.813448435198
1567044321.996,-18049.964799743797,-7153.799723684177,18066.362047544546
1567044322.246,-18050.22348759614,-7154.319463363441,18065.910622524847
1567044322.496,-18050.48217629428,-7154.839186434809,18065.459173376752
1567044322.746,-18050.740865837393,-7155.358892897748,18065.007700100876
