Time,PosX,PosY,PosZ
1567044419.496,19576.24900620917,8976.86141199911,15600.882840442193
1567044419.746,19576.476256447364,8977.311203069206,15600.352856879641
1567044419.996,19576.70350366053,8977.760976946072,15599.822852649364
1567044420.246,19576.930747847815,8978.210733629297,15599.292827752024
1567044420.496,19577.15798900847,8978.660473118558,15598.762782188394
1567044420.746,19577.38522714157,8979.11019541364,15598.232715959097
1567044420.996,19577.61246224631,8979.559900514,15597.702629065025
1567044421.246,19577.839694321927,8980.00958841954,15597.172521506673
1567044421.496,19578.066923367478,8980.459259129828,15596.64239328496
1567044421.746,19578.294149382255,8980.908912644536,15596.112244400527
1567044421.996,19578.5213723653,8981.358548963326,15595.582074854132
1567044422.246,19578.748592315933,8981.808168085954,15595.051884646386
1567044422.496,19578.975809233212,8982.257770012031,15594.52167377815
1567044422.746,19579.203023116355,8982.707354741186,15593.991442250042
1567044422.996,19579.430233964475,8983.156922273243,15593.46119006286
1567044423.246,19579.6574417769,8983.606472607746,15592.930917217256
1567044423.496,19579.884646552604,8984.056005744409,15592.400623714022
1567044423.746,19580.111848290886,8984.505521682906,15591.870309553844
1567044423.996,19580.339046990797,8984.955020422924,15591.339974737459
1567044424.246,19580.56624265168,8985.404501964113,15590.809619265545
1567044424.496,19580.793435272593,8985.853966306226,15590.279243138826
1567044424.746,19581.02062485277,8986.303413448819,15589.748846358094
1567044424.996,19581.247811391273,8986.752843391681,15589.218428923976
1567044425.246,19581.47499488736,8987.20225613442,15588.68799083729
1567044425.496,19581.7021753402,8987.651651676693,15588.157532098732
1567044425.746,19581.92935274894,8988.101030018232,15587.627052708965
1567044425.996,19582.156527112766,8988.550391158675,15587.096552668745
1567044426.246,19582.383698430833,8988.999735097721,15586.566031978798
1567044426.496,19582.61086670232,8989.449061835061,15586.03549063987
1567044426.746,19582.83803192642,8989.898371370346,15585.504928652588
1567044426.996,19583.065194102248,8990.347663703222,15584.974346017863
1567044427.246,19583.292353229044,8990.796938833486,15584.443742736197
1567044427.496,19583.51950930595,8991.246196760625,15583.913118808447
1567044427.746,19583.746662332116,8991.695437484479,15583.382474235294
1567044427.996,19583.97381230673,8992.144661004648,15582.851809017506
1567044428.246,19584.200959228983,8992.593867320855,15582.321123155738
1567044428.496,19584.428103098,8993.043056432682,15581.790416650712
1567044428.746,19584.655243913017,8993.492228339917,15581.259689503186
1567044428.996,19584.882381673106,8993.941383042154,15580.728941713929
1567044429.246,19585.10951637757,8994.390520539186,15580.198173283527
1567044429.496,19585.336648025477,8994.839640830523,15579.667384212831
1567044429.746,19585.563776615996,8995.288743915968,15579.136574502474
1567044429.996,19585.790902148372,8995.737829795144,15578.60574415328
1567044430.246,19586.01802462175,8996.186898467746,15578.074893165862
1567044430.496,19586.245144035263,8996.63594993344,15577.544021541005
1567044430.746,19586.47226038812,8997.084984191908,15577.0131292794
1567044430.996,19586.69937367946,8997.53400124282,15576.48221638181
1567044431.246,19586.926483908494,8997.983001085879,15575.951282848933
1567044431.496,19587.153591074377,8998.431983720733,15575.420328681485
1567044431.746,19587.380695176245,8998.880949147097,15574.88935388018
1567044431.996,19587.607796213328,8999.329897364572,15574.358358445768
1567044432.246,19587.834894184707,8999.778828372899,15573.827342378965
1567044432.496,19588.06198908965,9000.227742171752,15573.296305680442
1567044432.746,19588.28908092733,9000.676638760804,15572.765248351008
1567044432.996,19588.51616969683,9001.125518139706,15572.234170391324
1567044433.246,19588.74325539742,9001.574380308208,15571.703071802136
1567044433.496,19588.970338028168,9002.023225265875,15571.17195258415
1567044433.746,19589.197417588337,9002.472053012501,15570.640812738115
1567044433.996,19589.42449407703,9002.920863547632,15570.10965226475
1567044434.246,19589.651567493464,9003.369656871077,15569.578471164765
1567044434.496,19589.87863783684,9003.81843298249,15569.047269438837
1567044434.746,19590.105705106176,9004.267191881409,15568.516047087782
1567044434.996,19590.332769300832,9004.71593356764,15567.98480411226
1567044435.246,19590.55983041985,9005.164658040914,15567.453540513054
1567044435.496,19590.78688846248,9005.61336530083,15566.922256290753
1567044435.746,19591.01394342786,9006.062055347022,15566.390951446188
1567044435.996,19591.240995315093,9006.510728179252,15565.85962598013
1567044436.246,19591.468044123474,9006.959383797119,15565.328279893183
1567044436.496,19591.69508985216,9007.408022200376,15564.796913186123
1567044436.746,19591.922132500215,9007.856643388623,15564.265525859708
1567044436.996,19592.149172066867,9008.305247361663,15563.734117914586
1567044437.246,19592.376208551323,9008.753834119008,15563.202689351561
1567044437.496,19592.60324195272,9009.202403660463,15562.671240171254
1567044437.746,19592.830272270232,9009.650955985708,15562.139770374466
1567044437.996,19593.05729950301,9010.099491094341,15561.60827996189
1567044438.246,19593.284323650234,9010.54800898605,15561.07676893431
1567044438.496,19593.511344711136,9010.99650966056,15560.54523729235
1567044438.746,19593.73836268485,9011.444993117606,15560.013685036782
1567044438.996,19593.965377570472,9011.89345935671,15559.482112168367
1567044439.246,19594.192389367257,9012.341908377668,15558.950518687754
1567044439.496,19594.41939807437,9012.790340180116,15558.4189045957
1567044439.746,19594.64640369093,9013.238754763755,15557.88726989296
1567044439.996,19594.873406216153,9013.68715212823,15557.35561458023
1567044440.246,19595.100405649235,9014.13553227322,15556.823938658184
1567044440.496,19595.32740198927,9014.583895198411,15556.292242127649
1567044440.746,19595.55439523548,9015.032240903587,15555.760524989208
1567044440.996,19595.78138538706,9015.480569388295,15555.228787243728
1567044441.246,19596.008372443102,9015.928880652187,15554.697028891893
1567044441.496,19596.23535640284,9016.377174695132,15554.165249934316
1567044441.746,19596.462337265388,9016.825451516579,15553.633450371915
1567044441.996,19596.68931502999,9017.273711116359,15553.101630205218
1567044442.246,19596.916289695797,9017.721953494096,15552.56978943509
1567044442.496,19597.14326126196,9018.170178649481,15552.037928062191
1567044442.746,19597.370229727592,9018.618386582159,15551.506046087265
1567044442.996,19597.59719509199,9019.06657729191,15550.974143510979
1567044443.246,19597.824157354236,9019.514750778275,15550.442220334144
1567044443.496,19598.05111651352,9019.96290704103,15549.910276557439
1567044443.746,19598.278072569,9020.411046079811,15549.378312181583
1567044443.996,19598.505025519906,9020.859167894392,15548.846327207302
1567044444.246,19598.731975365314,9021.307272484308,15548.314321635335
1567044444.496,19598.958922104488,9021.755359849347,15547.782295466382
1567044444.746,19599.18586573655,9022.203429989091,15547.250248701199
1567044444.996,19599.41280626066,9022.651482903297,15546.718181340502
1567044445.246,19599.639743676038,9023.099518591676,15546.186093384946
1567044445.496,19599.866677981787,9023.547537053822,15545.653984835375
1567044445.746,19600.09360917714,9023.995538289353,15545.121855692434
1567044445.996,19600.32053726118,9024.443522298163,15544.589705956858
1567044446.246,19600.547462233266,9024.891489079826,15544.057535629316
1567044446.496,19600.774384092296,9025.33943863392,15543.525344710693
1567044446.746,19601.00130283764,9025.787370960203,15542.993133201577
1567044446.996,19601.22821846843,9026.235286058465,15542.460901102686
1567044447.246,19601.455130983828,9026.68318392821,15541.928648414785
